Itemcode,Barcode,ItemName,Unit,PhysicalCount,Converted,Region,CountingTime
107779,8.80E+12,ICE SANDWICH Kem Dau Do 150ml/1 Goi,GOI,6,1,Display,2.02104E+13
107781,8.80E+12,ICE SANDWICH Kem Vani So Co La 150ml/1 Goi,GOI,6,1,Display,2.02104E+13
107793,8.80E+12,MELONA Kem Dua Luoi 80ml/1 Que,QUE,5,1,Display,2.02104E+13
109583,8.86E+12,CHA CHEER Hat Huong Duong Ngu Vi 130G/ Goi,GOI,13,1,Display,2.02104E+13
109583,8.86E+12,CHA CHEER Hat Huong Duong Ngu Vi 130G/ Goi,GOI,13,1,Display,2.02104E+13
109600,8.86E+12,CHA CHEER Hat Huong Duong Vi Dua 130G/1 Goi,GOI,13,1,Display,2.02104E+13
109600,8.86E+12,CHA CHEER Hat Huong Duong Vi Dua 130G/1 Goi,GOI,11,1,Display,2.02104E+13
109600,8.86E+12,CHA CHEER Hat Huong Duong Vi Dua 130G/1 Goi,GOI,13,1,Backroom,2.02104E+13
109600,8.86E+12,CHA CHEER Hat Huong Duong Vi Dua 130G/1 Goi,GOI,1,1,Backroom,2.02104E+13
109648,6.92E+12,CHA CHEER Hat Huong Duong Dua 40g/ Goi,GOI,3,1,Backroom,2.02104E+13
109703,8.94E+12,DAMEX Ca Com Say Gion 35g/1 Goi,GOI,4,1,Backroom,2.02104E+13
109703,8.94E+12,DAMEX Ca Com Say Gion 35g/1 Goi,GOI,1,1,Backroom,2.02104E+13
109935,8.85E+12,DORKBUA Banh Que Tom  55g/1 Goi,GOI,8,1,Backroom,2.02104E+13
110752,8.93E+12,OISHI Snack Pho Mat Mieng 40g/1 Goi,GOI,13,1,Backroom,2.02104E+13
110776,8.93E+12,OISHI Snack Tom Cay Dac Biet 40g/1 Goi,GOI,15,1,Backroom,2.02104E+13
110790,8.93E+12,OISHI Snack Bap Ngot 40g/1 Goi,GOI,8,1,Backroom,2.02104E+13
110843,8.93E+12,OISHI Banh Phong Muc Indo 40g/1 Goi,GOI,14,1,Backroom,2.02104E+13
110843,8.93E+12,OISHI Banh Phong Muc Indo 40g/1 Goi,GOI,22,1,Backroom,2.02104E+13
110843,8.93E+12,OISHI Banh Phong Muc Indo 40g/1 Goi,GOI,6,1,Backroom,2.02104E+13
110855,8.93E+12,OISHI Snack Bi Do Bo Nuong 40g/1 Goi,GOI,19,1,Backroom,2.02104E+13
110946,8.94E+12,ONE ONE Banh Gao Vi Ngot 150g/1 Goi,GOI,7,1,Backroom,2.02104E+13
111043,8.94E+12,O'STAR Khoai Tay Chien Vi Rong Bien 63g/1 Goi,GOI,3,1,Display,2.02104E+13
