Itemcode,Barcode,ItemName,Unit,PhysicalCount,Converted,Region,CountingTime
158308,8851932115919,CORNETTO Kem Roy Chocoluv 88g/1 Cay,CAY,5,1,Display,20210329163502
158633,8934698060010,LEO Nuoc Khoang Chanh 350ml/1 Chai,CHAI,10,1,Display,20210329160737
159477,8935217400058,TH Sua Tiet Trung Nguyen Chat 180ml/1 Hop,HOP,9,1,Display,20210329155425
160119,8934588873058,TEA+ Tra O Long 455ml/1 Chai,CHAI,5,1,Display,20210329160928
160444,8934680045698,KINH DO BM Tuoi Burger Bo 70g/1 Goi,GOI,5,1,Bad Merchandise,20210329163020
161979,8850999113005,SINGHA Bia Nhap Khau Cao Cap Lager 330ml/1 Lon,LON,12,1,Display,20210329163225
162632,8997035600645,POCARI SWEAT Nuoc Uong Bo Sung I-on 350ml/1 Chai,CHAI,10,1,Display,20210329160736
162632,8997035600645,POCARI SWEAT Nuoc Uong Bo Sung I-on 350ml/1 Chai,CHAI,10,1,Display,20210329160739
163256,8935004400957,KENT Thuoc La  iSwitch 20 Dieu/1 Goi,GOI,10,1,Display,20210329155805
165595,8935049510871,AQUARIUS Nuoc Suoi The Thao 390ml/1 Chai,CHAI,24,1,Backroom,20210329161248
166220,8936104380057,CUNG DINH Mi Lau Tom Chua Cay 71g/1 Ly,LY,5,1,Backroom,20210329161906
168052,8935024115169,TRUNG NGUYEN Ca Phe Chu S 500g/1 Goi,GOI,18,1,Display,20210329155538
168646,8938503416283,YEN VIET Chao Yen Thit Bam 50g/1 Goi,GOI,5,1,Backroom,20210329162006
169090,89303375,MARLBORO Thuoc La Advance 20 Dieu/1 Goi,GOI,5,1,Display,20210329155852
169943,8936122200023,MR.BROWN Cappucino 240ml/1 Lon,LON,21,1,Backroom,20210329161218
171788,8934868147428,SUNLIGHT Nuoc Rua Chen Chanh 400g/1 Chai,CHAI,3,1,Display,20210329163757
173934,8934563102166,THE GIOI MI Mi Lau Thai 80g/1 Goi,GOI,5,1,Backroom,20210329161837
175342,8934803027549,C+ Nuoc Bo Sung Vitamin C Soda Chanh 350ml/1 Chai,CHAI,10,1,Display,20210329160741
177742,8936011775502,MERINO Kem Dau Xanh Yen Mach 60g/1 Que,QUE,10,1,Display,20210329163456
177750,8936011775519,MERINO Kem Dau Do Gao Lut 60g/1 Que,QUE,5,1,Display,20210329163451
177938,8935136874206,X-MEN Lan Ngan Mui For Boss 50ml/1 Chai,CHAI,4,1,Not Yet Receiving,20210329162821
178170,089686010947,INDOMIE Mi Goreng Dac Biet 85g/1 Goi,GOI,15,1,Backroom,20210329161851
179760,8850370721119,CHA TAR MUA Tra Thai Do 400g*1PA,GOI,2,1,Display,20210329155554
180818,8934563183158,HAO HAO Mi Sa te Hanh Cay 74g/1 Goi,GOI,12,1,Backroom,20210329161844
182404,8934588012228,PEPSI Nuoc Ngot Lon Cao 330ml/1 Lon,LON,10,1,Display,20210329163546
183109,8934588013133,PEPSI Nuoc Ngot Huong Cola 390ml/1 Chai,CHAI,5,1,Display,20210329160908
183125,8934588883132,MIRINDA Nuoc Ngot Huong Cam 390ml/1 Chai,CHAI,5,1,Display,20210329160906
183133,8934588133138,MIRINDA Nuoc Ngot Huong Xa Xi 390ml/1 Chai,CHAI,5,1,Display,20210329160911
183191,8934673502351,VINAMILK Sua Tiet Trung Vi Dau 220ml/1 Goi,GOI,8,1,Display,20210329155435
183214,8934673605823,VINAMILK Sua Chua An Khong Duong 100g/1 Hop,HOP,10,1,Bad Merchandise,20210329162856
183963,8850393919975,BETAGEN Sua Chua Uong 400ml/1 Chai,CHAI,13,1,Display,20210329155410
184147,8801382124528,WOONGJIN Nuoc Gao 500ml/1 Chai,CHAI,9,1,Display,20210329160949
184244,9300727011343,JACOB'S CREEK Ruou Vang Do Merlot 750ml/1 Chai,CHAI,2,1,Display,20210329155704
184414,9310578031643,BERRI ESTATES Ruou Vang Do Cabernet Sauvignon 750ml/1 Chai,CHAI,3,1,Display,20210329155656
185460,8938508547562,BIBIGO Kim Chi Cai Thao 100g/1 Goi,GOI,5,1,Display,20210329154626
185486,8801104940146,BINGGRAE Sua Tiet Trung Vi Dua Luoi 200ml/1 Hop,HOP,5,1,Display,20210329155249
188395,8855790000028,CARABAO Nuoc Tang Luc 250ml/1 Lon,LON,15,1,Backroom,20210329161252
188573,8934772225076,RED HORSE Bia 500ml/1 Lon,LON,18,1,Backroom,20210329161213
190805,8936094292309,BECK'S Bia 500ml/1 Lon,LON,7,1,Backroom,20210329161211
190805,8936094292309,BECK'S Bia 500ml/1 Lon,LON,5,1,Display,20210329163229
194647,2900011946473,TP Banh Bao Hoang Kim/1 Cai,CAI,9,1,Display,20210329163957
196241,8935217400195,TH Sua Tiet Trung Co Duong 220ml/1 Goi,GOI,5,1,Display,20210329155445
196851,8935001847557,THIEN LONG Tap NB083 120 Trang/1 Cai,QUYEN,1,1,Display,20210329163808
197530,8934680089685,KINH DO Bong Lan Cam Nhat 50g/1 Goi,GOI,3,1,Bad Merchandise,20210329163023
198829,8850124025258,NESCAFE Ca Phe Latte 180ml/1 Lon,LON,17,1,Backroom,20210329161220
201020,8801104180115,ICE SANDWICH Kem Dau 150ml/1 Goi,GOI,10,1,Display,20210329163525
202660,8850393800440,BETAGEN Sua Chua Uong Khong Beo 300ml/1 Chai,CHAI,5,1,Display,20210329155402
203137,8938507322511,HNF Bao Tay Nylon 100 Cai/1 Hop,HOP,8,1,Backroom,20210329161422
204743,8801073113268,SAMYANG Mi Ga Cay Pho Mai 140g/1 Goi,GOI,5,1,Backroom,20210329161821
204751,8801073110502,SAMYANG Mi Kho Ga Cay 140g/1 Goi,GOI,15,1,Backroom,20210329161819
205171,3415587403187,HAAGEN DAZS Kem Vani Caramen Hanh Nhan 80ml/1 Que,QUE,10,1,Display,20210329163504
209557,8850393800679,BETAGEN Sua Chua Uong Vi Dua 300ml/1 Chai,CHAI,10,1,Display,20210329155405
